problem,solution,input,runs,answer,time_ns
1,brute_force,10,10000,23,110
1,brute_force,20,10000,78,183
1,brute_force,50,10000,543,386
1,brute_force,100,10000,2318,687
1,brute_force,200,10000,9168,580
1,brute_force,500,10000,57918,1445
1,brute_force,1000,10000,233168,2859
1,brute_force,2000,10000,931668,5630
1,brute_force,5000,10000,5829168,14069
1,brute_force,10000,10000,23331668,28265
1,closed_form,10,10000,23,72
1,closed_form,20,10000,78,71
1,closed_form,50,10000,543,73
1,closed_form,100,10000,2318,71
1,closed_form,200,10000,9168,71
1,closed_form,500,10000,57918,71
1,closed_form,1000,10000,233168,71
1,closed_form,2000,10000,931668,71
1,closed_form,5000,10000,5829168,71
1,closed_form,10000,10000,23331668,71
